Касса;Физик;Код региона
1;0;19
39;0;36
40;0;36
124;0;36
125;0;19
126;0;36
128;1;36
129;0;03
136;0;36
137;0;36
139;1;36
140;0;36
141;0;36
142;0;36
143;1;36
144;0;36
145;0;36
146;1;36
147;0;73
148;0;03
149;0;36
150;0;46
151;0;03
152;0;73
153;0;73
154;0;46
155;0;36
156;1;36
157;1;36
158;0;36
159;1;36
160;0;36
161;0;36
162;0;19
163;0;36
164;0;36
165;0;36
166;0;19
167;0;03
168;0;36
169;0;36
170;0;19
171;0;36
172;0;36
173;0;36
174;1;46
175;1;36
176;1;36
177;1;36
178;1;36
179;1;36
180;1;73
181;1;36
182;1;36
183;1;36
184;1;73
185;1;36
186;1;36
187;1;36
188;1;36
189;1;73
190;1;73
191;1;36
192;1;36
193;1;36
194;1;36
195;1;36
196;1;73
197;1;36
198;1;36
199;1;36
200;1;36
201;1;36
202;1;36
203;1;73
204;0;73
205;1;36
206;0;36
207;0;73
208;0;46
209;0;19
210;0;03
211;0;03
212;1;36
213;1;73
214;1;36
215;0;36
216;1;36
217;1;36
218;1;36
219;1;36
220;1;36
221;1;36
222;1;36
223;1;36
224;1;36
225;1;36
226;1;36
227;1;36
228;1;36
229;1;36
230;1;36
231;1;36
232;0;36
233;1;36
234;1;36
235;1;36
236;1;36
237;1;36
238;1;36
239;1;36
240;1;73
241;1;36
242;1;73
243;0;36
244;1;36
245;1;36
246;1;73
247;1;36
248;1;73
249;0;46
250;1;73
251;1;73
252;1;73
253;1;46
254;1;73
255;1;73
256;1;73
257;1;73
258;1;73
259;1;73
260;1;73
261;1;73
262;1;73
263;1;73
264;0;03
265;1;73
266;1;36
267;1;36
268;1;73
269;1;36
270;1;36
271;1;36
272;1;36
273;0;36
274;1;03
275;1;73
276;1;73
277;1;73
278;1;73
279;1;73
280;1;73
281;1;73
282;1;36
283;0;36
284;1;73
285;1;73
286;1;73
287;1;73
288;1;36
289;1;36
290;1;36
291;1;73
292;1;73
293;1;36
294;0;36
295;1;36
296;1;73
297;1;73
298;1;73
299;1;36
300;0;36
301;1;73
302;1;73
303;1;73
304;1;36
305;1;73
306;1;36
307;1;73
308;1;36
309;1;73
310;1;36
311;1;36
312;1;73
313;1;36
314;1;73
315;1;36
316;1;36
317;1;73
318;1;73
319;1;73
320;1;73
321;1;73
322;1;36
323;1;73
324;1;73
325;1;36
326;1;36
327;1;73
328;1;36
329;1;73
330;1;36
331;1;36
332;1;36
333;0;36
334;1;73
335;1;36
336;1;73
337;1;36
338;1;36
339;1;46
340;1;36
341;1;36
342;1;73
343;1;36
344;1;36
345;0;36
346;1;73
347;1;36
348;1;36
349;1;73
350;1;36
351;1;36
352;1;36
353;1;73
354;1;36
355;1;73
356;1;73
357;1;36
358;1;36
359;1;36
360;1;03
361;1;36
362;1;36
363;1;36
364;0;36
365;1;36
366;1;36
367;1;03
368;1;36
