"KSNP";"NAMEP";"NNP";"NEWNUM"
"30101810500000000060";"ВНЕШЭКОНОМБАНК";"МОСКВА";"044525060"
"30101810100000000101";"ООО ""ДОЙЧЕ БАНК""";"МОСКВА";"044525101"
"30101810400000000102";"АО ""ДЕНИЗБАНК МОСКВА""";"МОСКВА";"044525102"
"30101810300000000105";"АО ""КОММЕРЦБАНК (ЕВРАЗИЯ)""";"МОСКВА";"044525105"
"30101810900000000107";"АО ""МИДЗУХО БАНК (МОСКВА)""";"МОСКВА";"044525107"
"30101810200000000108";"АО ""МСП БАНК""";"МОСКВА";"044525108"
"30101810000000000272";"ПАО БАНК ЗЕНИТ";"МОСКВА";"044525272"
"30101810100000000279";"АО КБ ""БТФ""";"МОСКВА";"044525279"
"30101810900000000110";"АО ""КБ ДЕЛЬТАКРЕДИТ""";"МОСКВА";"044525110"
"30101810200000000111";"АО ""РОССЕЛЬХОЗБАНК""";"МОСКВА";"044525111"
"30101810700000000116";"""ЗЕРБАНК (МОСКВА)""(АО)";"МОСКВА";"044525116"
"30101810800000000126";"АО КБ ""ИНТЕРПРОМБАНК""";"МОСКВА";"044525126"
"30101810900000000181";"БАНК ""ВОЗРОЖДЕНИЕ"" (ПАО)";"МОСКВА";"044525181"
"30101810800000000184";"АО ""МБ БАНК""";"МОСКВА";"044525184"
"30101810100000000185";"""БНП ПАРИБА БАНК"" АО";"МОСКВА";"044525185"
"30101810700000000187";"БАНК ВТБ (ПАО)";"МОСКВА";"044525187"
"30101810000000000201";"ПАО АКБ ""АВАНГАРД""";"МОСКВА";"044525201"
"30101810300000000202";"АО КБ ""СИТИБАНК""";"МОСКВА";"044525202"
"30101810900000000204";"АО АКБ ""ЕВРОФИНАНС МОСНАРБАНК""";"МОСКВА";"044525204"
"30101810700000000213";"АКБ ""БЭНК ОФ ЧАЙНА"" (АО)";"МОСКВА";"044525213"
"30101810600000000232";"ПАО ""МТС-БАНК""";"МОСКВА";"044525232"
"30101810000000000256";"ПАО РОСБАНК";"МОСКВА";"044525256"
"30101810200000000218";"КБ ""ДЖ.П. МОРГАН БАНК ИНТЕРНЕШНЛ"" (ООО)";"МОСКВА";"044525218"
"30101810500000000222";"ИНГ БАНК (ЕВРАЗИЯ) АО";"МОСКВА";"044525222"
"30101810800000000236";"АО ""БАНК КРЕДИТ СВИСС (МОСКВА)""";"МОСКВА";"044525236"
"30101810000000000243";"АО ""ГЛОБЭКСБАНК""";"МОСКВА";"044525243"
