"id";"action";"action_date";"initiator";"object_class";"object_id"
8,0;"INSERT";12.07.2017 9:37:57;"fadmin";"ru.cft.web.fxgate.admin.model.Person";7,0
9,0;"UPDATE";12.07.2017 9:44:36;"fadmin";"ru.cft.web.fxgate.admin.model.Person";7,0
11,0;"INSERT";12.07.2017 15:52:58;"fadmin";"ru.cft.web.fxgate.admin.model.Operator";10,0
14,0;"INSERT";13.07.2017 10:14:50;"fadmin";"ru.cft.web.fxgate.admin.model.Operator";13,0
15,0;"UPDATE";13.07.2017 10:38:01;"fadmin";"ru.cft.web.fxgate.admin.model.Person";7,0
18,0;"INSERT";13.07.2017 11:20:06;"fadmin";"ru.cft.web.fxgate.admin.model.Operator";17,0
22,0;"INSERT";13.07.2017 11:39:04;"fadmin";"ru.cft.web.fxgate.admin.model.Operator";21,0
24,0;"INSERT";13.07.2017 11:41:03;"fadmin";"ru.cft.web.fxgate.admin.model.Operator";23,0
31,0;"UPDATE";13.07.2017 13:37:28;"fadmin";"ru.cft.web.fxgate.admin.model.Person";7,0
33,0;"INSERT";13.07.2017 13:38:04;"fadmin";"ru.cft.web.fxgate.admin.model.Operator";32,0
34,0;"UPDATE";13.07.2017 13:38:32;"fadmin";"ru.cft.web.fxgate.admin.model.Person";7,0
36,0;"INSERT";13.07.2017 13:39:06;"fadmin";"ru.cft.web.fxgate.admin.model.Operator";35,0
37,0;"UPDATE";13.07.2017 13:39:07;"fadmin";"ru.cft.web.fxgate.admin.model.Person";7,0
40,0;"INSERT";13.07.2017 13:40:25;"fadmin";"ru.cft.web.fxgate.admin.model.Operator";39,0
41,0;"UPDATE";13.07.2017 13:40:26;"fadmin";"ru.cft.web.fxgate.admin.model.Person";7,0
46,0;"INSERT";13.07.2017 13:40:26;"fadmin";"ru.cft.web.fxgate.admin.model.Contract";42,0
47,0;"INSERT";13.07.2017 13:40:26;"fadmin";"ru.cft.web.fxgate.admin.model.User";43,0
48,0;"INSERT";13.07.2017 13:40:27;"fadmin";"ru.cft.web.fxgate.admin.model.NotificationSettings";45,0
50,0;"INSERT";13.07.2017 13:42:41;"fadmin";"ru.cft.web.fxgate.admin.model.Operator";49,0
51,0;"UPDATE";13.07.2017 13:42:41;"fadmin";"ru.cft.web.fxgate.admin.model.Person";7,0
56,0;"INSERT";13.07.2017 14:02:25;"fadmin";"ru.cft.web.fxgate.admin.model.Operator";55,0
57,0;"UPDATE";13.07.2017 14:02:28;"fadmin";"ru.cft.web.fxgate.admin.model.Person";7,0
60,0;"INSERT";13.07.2017 14:02:38;"fadmin";"ru.cft.web.fxgate.admin.model.Operator";59,0
61,0;"UPDATE";13.07.2017 14:02:38;"fadmin";"ru.cft.web.fxgate.admin.model.Person";7,0
64,0;"INSERT";13.07.2017 14:02:49;"fadmin";"ru.cft.web.fxgate.admin.model.Operator";63,0
