"ID_FIELD";"INDEX_COLUMN";"NAME_COLUMN";"TYPE_COLUMN";"YES_SENSE";"FORMAT_COLUMN";"MEANING_COLUMN"
2;0;"КПП";4;0;"";"КПП плательщика"
5;0;"Код страны";4;0;"";""
5;1;"Индекс";4;0;"";""
5;2;"Тип региона";4;0;"";""
5;3;"Регион";4;0;"";""
5;4;"Тип района";4;0;"";""
5;5;"Район";4;0;"";""
5;6;"Тип города";4;0;"";""
5;7;"Город";4;0;"";""
5;8;"Тип улицы";4;0;"";""
5;9;"Улица";4;0;"";""
5;10;"Тип дома";4;0;"";""
5;11;"Дом";4;0;"";""
5;12;"Тип корпуса";4;0;"";""
5;13;"Корпус";4;0;"";""
5;14;"Тип квартиры";4;0;"";""
5;15;"Квартира";4;0;"";""
5;16;"Тип н.п.";4;0;"";""
5;17;"Насел.пункт";4;0;"";""
6;0;"Код страны";4;0;"";""
6;1;"Индекс";4;0;"";""
6;2;"Тип региона";4;0;"";""
6;3;"Регион";4;0;"";""
6;4;"Тип района";4;0;"";""
6;5;"Район";4;0;"";""
6;6;"Тип города";4;0;"";""
6;7;"Город";4;0;"";""
6;8;"Тип улицы";4;0;"";""
6;9;"Улица";4;0;"";""
6;10;"Тип дома";4;0;"";""
6;11;"Дом";4;0;"";""
6;12;"Тип корпуса";4;0;"";""
6;13;"Корпус";4;0;"";""
6;14;"Тип квартиры";4;0;"";""
6;15;"Квартира";4;0;"";""
6;16;"Тип н.п.";4;0;"";""
6;17;"Насел.пункт";4;0;"";""
7;0;"Идентификатор договора";1;0;"";"Идентификатор договора"
7;1;"Код бизнеса";4;0;"";"Код бизнеса"
8;0;"Идентификатор договора";1;0;"";"Идентификатор договора"
8;1;"Код бизнеса";4;0;"";"Код бизнеса"
9;0;"Идентификатор договора";1;0;"";"Идентификатор договора"
9;1;"Код бизнеса";4;0;"";"Код бизнеса"
10;0;"Идентификатор договора";1;0;"";"Идентификатор договора"
10;1;"Код бизнеса";4;0;"";"Код бизнеса"
24;0;"Формат";4;0;"";""
24;1;"Версия формата";4;0;"";""
24;2;"Маска файла";4;0;"";""
25;0;"Тип документа";4;1;"";"Тип документа"
25;1;"Серия и номер документа";4;0;"";"Серия и номер документа"
27;0;"Программа";4;0;"";"Программа"
28;0;"Программа";4;1;"";"Программа"
