"ID_FIELD";"NAME_FIELD";"MAND_USE";"TYPE_FIELD";"YES_SENSE";"MEANING_FIELD";"IS_NOT_VISUAL";"NUM_ORDER";"FORMAT_FIELD"
1;"ИНН";false;4;0;"ИНН клиента";false;1;null
2;"КПП";false;0;0;"КПП клиента";false;2;null
3;"Наименование клиента для документов";false;4;0;"Наименование клиента для платежных документов";false;3;null
4;"Наименование клиента для документов (лат.)";false;4;0;"Наименование клиента для документов (лат.)";false;4;null
5;"Адрес";false;0;1;"Адрес плательщика";true;5;null
6;"Адрес (лат.)";false;0;1;null;false;6;null
7;"_Договор для расчетов";false;0;1;"Идентификатор договора для расчетов";true;7;null
8;"_Договоры для информации";false;0;0;"Идентификаторы договоров для информации";true;8;null
9;"_Договоры для работы";false;0;0;"Идентификаторы договоров для работы";true;9;null
10;"_Договоры для работы (валюта)";false;0;0;"Идентификаторы договров для работы (валюта)";true;10;null
11;"Периодичность рассылки отчетов";false;4;1;"Периодичность выгрузки отчета об операциях";false;11;null
12;"EMail клиента";false;4;0;"EMail клиента";false;12;null
13;"Дата окончания периода рассылки";false;2;0;"Дата окончания выгруженного периода (отчет об операциях)";true;13;null
14;"ОКПО";false;4;0;"ОКПО";false;14;null
15;"Информирование при поступлении документа";false;1;0;"Информирование при поступлении документа по каналу ДБО";true;15;null
16;"Подтверждение входа";false;5;0;"Признак необходимости подтверждения входа на сайт";true;16;null
17;"Информирование при отбраковке";false;1;0;"Тип информирования клиента при отбраковке документа";true;17;null
18;"Произвольная очередность подписания";false;5;0;"Произвольная очередность подписания документов";true;18;null
19;"Филиал обслуживания";false;1;0;"Филиал обслуживания";false;19;null
20;"Режим формирования выписки";false;4;1;"Режим формирования выписки на сайте ДБО";false;20;null
21;"Информирование о входе в систему ДБО";false;1;0;"Информирование о входе в систему ДБО";true;21;null
22;"Игнорировать наим.плательщика из файла 1С";false;5;0;"При игнорировании наименования плательщка из файла искользуется карточка клиента";false;22;null
23;"Тип сортировки выписки";false;4;1;"Сортировкаи выписки (По дате, По сумме Дб, По сумме Кр)";false;23;null
24;"Выгрузка документов.Формат";false;0;1;null;false;24;null
25;"Документы";false;0;0;"Документы клиента";false;25;null
26;"CashBack.Сумма";false;3;0;"Сумма заработанного CashBack";true;26;null
27;"CashBack.Действующая программа";false;0;0;"CashBack.Действующая программа";true;27;null
28;"CashBack.Выбранная программа";false;0;0;"CashBack.Выбранная программа";true;28;null
29;"CashBack.Срок действия выбранной программы";false;2;0;"CashBack.Срок действия выбранной программы";true;29;null
