"ID_PARAM";"ID_VALUE";"NAME_VALUE";"TABLE_VALUE"
0;0;"Значение";"select ID_ACCOUNT ID_VALUE, STRACCOUNT NAME_VALUE from OD_ACCOUNTS0"
1;1;"Рубли/Ин.валюта";"select NODE_VALUE ID_VALUE, NODE_NAME NAME_VALUE from RB_DIC_VALUE_LIST_ACC where ID_PARAM = 1 and ID_VALUE = 1"
1;2;"Код валюты";"select ID_CURRENCY ID_VALUE, CURRENCY_COD NAME_VALUE from COM_CURRENCY where CURRENCY_CB <> ''"
2;1;"Центр прибыли";"select NUM_DIVISION_GROUP ID_VALUE, NAME_DIVISION_GROUP NAME_VALUE from UBS_DIVISION_GROUP where NUM_DIVISION_GROUP > 0"
2;2;"Номер отделения";"select D.NUM_DIVISION ID_VALUE, D.NAME_DIVISION NAME_VALUE from UBS_DIVISION D, UBS_DIVISION_BUSINESS DB, UBS_BUSINESS B where D.NUM_DIVISION > 0 and D.NUM_DIVISION = DB.NUM_DIVISION and DB.ID_BUSINESS = B.ID_BUSINESS and B.COD_BUSINESS = 'RB'"
3;1;"Резидент/Не резидент";"select NODE_VALUE ID_VALUE, NODE_NAME NAME_VALUE from RB_DIC_VALUE_LIST_ACC where ID_PARAM = 3 and ID_VALUE = 1"
4;1;"Тип договора";"select COLUMN_CONTENTS ID_VALUE,DECODE_CONTENTS NAME_VALUE from COM_COLUMN_DECODE where NAME_TABLE_COLUMN = 'RB_CONTRACT.TYPE_CONTRACT'"
7;1;"Вид документа";"select ID_KIND_DOC ID_VALUE, NAME_KIND_DOC NAME_VALUE from RB_KIND_DOCUMENT"
8;1;"Типовой договор";"select ID_MODEL ID_VALUE, NAME_MODEL NAME_VALUE from RB_MODEL"
9;1;"Вид клиента";"select NODE_VALUE ID_VALUE, NODE_NAME NAME_VALUE from RB_DIC_VALUE_LIST_ACC where ID_PARAM = 9 and ID_VALUE = 1"
