"ID_PARAM";"ID_VALUE";"NAME_VALUE";"TABLE_VALUE"
0;0;"Значение";"select ID_RATE ID_VALUE, '%' from RB_RATE"
1;1;"Вид услуг";"select ID_SERVICE ID_VALUE, NAME_SERVICE NAME_VALUE from EPS_SERVICE"
1;2;"Поставщик услуг";"select P.ID_PROVIDER ID_VALUE, P.NAME_PROVIDER NAME_VALUE from EPS_PROVIDER P"
2;1;"Рубли/Ин.валюта";"select NODE_VALUE ID_VALUE, NODE_NAME NAME_VALUE from RB_DIC_VALUE_LIST_RATE where ID_PARAM = 2 and ID_VALUE = 1"
2;2;"Код валюты";"select ID_CURRENCY ID_VALUE, CURRENCY_COD NAME_VALUE from COM_CURRENCY where CURRENCY_CB <> ''"
3;1;"Группа документов";"select -1 ID_VALUE, '_Не определена' NAME_VALUE union select ID_GROUP ID_VALUE, NAME_GROUP NAME_VALUE from RB_DOCUMENT_GROUP"
4;1;"Тип договора";"select COLUMN_CONTENTS ID_VALUE,DECODE_CONTENTS NAME_VALUE from COM_COLUMN_DECODE where NAME_TABLE_COLUMN = 'RB_CONTRACT.TYPE_CONTRACT'"
5;1;"Типовой договор";"select ID_MODEL ID_VALUE, NAME_MODEL NAME_VALUE from RB_MODEL"
6;1;"Аутентификация";"select NODE_VALUE ID_VALUE, NODE_NAME NAME_VALUE from RB_DIC_VALUE_LIST_RATE where ID_PARAM = 6 and ID_VALUE = 1"
7;1;"Банковский продукт";"select ID_PRODUCT ID_VALUE, NAME_PRODUCT NAME_VALUE from RB_PRODUCT"
