"ID_FIELD";"CONDITION_STRING"
1;"ALL"
2;"ALL"
3;"UBS_BUY_CURR"
3;"UBS_CARD_CHANGELIMIT"
3;"UBS_CARD_CLOSE"
3;"UBS_CREDIT_ISSUE"
3;"UBS_DEPOSIT_OPEN"
3;"UBS_FO_CREATE_CLAIM"
3;"UBS_LOAN_AHEAD_PAYM"
3;"UBS_PAYM_ORDER_CURR"
3;"UBS_PAYM_ORDER_FIZ"
3;"UBS_PAYM_ORDER_TAX"
3;"UBS_PAYM_ORDER_YUR"
3;"UBS_PAYMENT_ORDER"
3;"UBS_PAYROLL"
3;"UBS_RC_MESSAGE"
3;"UBS_SDB_OPEN"
3;"UBS_SDB_PAY_RENT"
3;"UBS_SDB_PROLONGATION"
3;"UBS_SELL_CURR"
3;"UBS_SERVICE_PAYMENT"
3;"UBS_SMS_SERVICE"
3;"UBS_STO_CHANGE"
3;"UBS_STO_OPEN"
3;"UBS_TRANSFER_ACC"
3;"UBS_TRANSFER_CARD"
3;"UBS_TRANSFER_MONEY"
3;"UBS_TRANSIT_CURR"
4;"UBS_PAYM_ORDER_FIZ"
4;"UBS_PAYM_ORDER_TAX"
4;"UBS_PAYM_ORDER_YUR"
4;"UBS_PAYMENT_ORDER"
5;"UBS_PAYM_ORDER_FIZ"
5;"UBS_PAYM_ORDER_TAX"
5;"UBS_PAYM_ORDER_YUR"
5;"UBS_PAYMENT_ORDER"
5;"UBS_STO_CHANGE"
5;"UBS_STO_OPEN"
6;"UBS_BUY_CURR"
6;"UBS_CARD_CLOSE"
6;"UBS_DEPOSIT_OPEN"
6;"UBS_PAYM_ORDER_CURR"
6;"UBS_PAYM_ORDER_FIZ"
6;"UBS_PAYM_ORDER_TAX"
6;"UBS_PAYM_ORDER_YUR"
6;"UBS_PAYMENT_ORDER"
6;"UBS_PAYROLL"
6;"UBS_RC_MESSAGE"
6;"UBS_SDB_OPEN"
6;"UBS_SDB_PAY_RENT"
6;"UBS_SDB_PROLONGATION"
6;"UBS_SELL_CURR"
6;"UBS_SERVICE_PAYMENT"
6;"UBS_SMS_SERVICE"
6;"UBS_STO_CHANGE"
6;"UBS_STO_OPEN"
6;"UBS_TRANSFER_ACC"
6;"UBS_TRANSFER_CARD"
6;"UBS_TRANSFER_MONEY"
6;"UBS_TRANSIT_CURR"
7;"UBS_BUY_CURR"
7;"UBS_CARD_CLOSE"
7;"UBS_PAYM_ORDER_CURR"
7;"UBS_PAYM_ORDER_FIZ"
7;"UBS_PAYM_ORDER_TAX"
7;"UBS_PAYM_ORDER_YUR"
7;"UBS_PAYMENT_ORDER"
7;"UBS_RC_MESSAGE"
7;"UBS_SELL_CURR"
7;"UBS_SERVICE_PAYMENT"
7;"UBS_STO_CHANGE"
7;"UBS_STO_OPEN"
7;"UBS_TRANSFER_MONEY"
7;"UBS_TRANSIT_CURR"
8;"UBS_PAYM_ORDER_CURR"
8;"UBS_PAYM_ORDER_FIZ"
8;"UBS_PAYM_ORDER_TAX"
8;"UBS_PAYM_ORDER_YUR"
8;"UBS_PAYMENT_ORDER"
8;"UBS_RC_MESSAGE"
8;"UBS_SERVICE_PAYMENT"
