"ID_FIELD";"NAME_FIELD";"MAND_USE";"TYPE_FIELD";"YES_SENSE";"MEANING_FIELD";"IS_NOT_VISUAL";"NUM_ORDER";"FORMAT_FIELD"
1;"Документ.Номер";false;4;0;"Номер документа";false;1;null
2;"Документ.Дата";false;2;0;"Дата документа";false;2;null
3;"Документ.Сумма";false;3;0;"Сумма документа";false;3;null
4;"Документ.Вид платежа";false;4;0;"Вид платежа документа";false;4;null
5;"Документ.Очередность платежа";false;4;0;"Очередность платежа документа";false;5;null
6;"Плательщик.Счет";false;6;0;"Счет плательщика";false;6;null
7;"Банк получателя.БИК";false;4;0;"БИК банка получателя";false;7;null
8;"Банк получателя.Счет";false;6;0;"Корсчет банка получателя";false;8;null
9;"Банк получателя.Наименование";false;4;0;"Наименование банка получателя";false;9;null
10;"Получатель.Счет";false;6;0;"Счет получателя";false;10;null
11;"Получатель.КПП";false;4;0;"КПП получателя (103)";false;11;null
12;"Получатель.ИНН";false;4;0;"ИНН получателя";false;12;null
13;"Получатель.Наименование";false;4;0;"Наименование получателя";false;13;null
14;"Документ.Статус составителя";false;4;0;"Статус составителя документа (101)";false;14;null
15;"Документ.КБК";false;4;0;"КБК (104)";false;15;null
16;"Документ.ОКАТО";false;4;0;"ОКАТО (105)";false;16;null
17;"Документ.Основание налогового платежа";false;4;0;"Основание налогового платежа (106)";false;17;null
18;"Документ.Налоговый период";false;4;0;"Налоговый период (107)";false;18;null
19;"Документ.Номер налогового документа";false;4;0;"Номер налогового документа (108)";false;19;null
20;"Документ.Дата налогового документа";false;4;0;"Дата налогового документа (109)";false;20;null
21;"Документ.Тип налогового платежа";false;4;0;"Тип налогового платежа (110)";false;21;null
22;"Документ.Назначение платежа";false;4;0;"Документ.Назначение платежа";false;22;null
23;"Плательщик.ИНН";false;4;0;"ИНН плательщика";false;23;null
24;"Плательщик.КПП";false;4;0;"КПП плательщика";false;24;null
25;"Получатель.Адрес";false;4;0;"Адрес получателя";false;25;null
26;"Получатель.Код страны";false;4;0;"Код страны получателя";false;26;null
27;"Получатель.Город";false;4;0;"Город получателя";false;27;null
28;"Банк получателя.Код страны";false;4;0;"Код страны банка получателя";false;28;null
29;"Банк получателя.Город";false;4;0;"Город банка получателя";false;29;null
30;"Банк получателя.Адрес";false;4;0;"Адрес банка получателя";false;30;null
31;"Банк плательщика.Счет";false;4;0;"Счет банка плательщика";false;31;null
32;"Банк плательщика.БИК";false;4;0;"БИК(SWIFT) банка плательщика";false;32;null
33;"Банк посредника.Счет";false;4;0;"Счет банка посредника";false;33;null
34;"Банк посредника.БИК";false;4;0;"БИК(SWIFT) банка посредника";false;34;null
35;"Банк посредника.Наименование";false;4;0;"Наименование банка посредника";false;35;null
36;"Банк посредника.Код страны";false;4;0;"Код страны банка посредника";false;36;null
37;"Банк посредника.Город";false;4;0;"Город банка посредника";false;37;null
38;"Банк посредника.Адрес";false;4;0;"Адрес банка посредника";false;38;null
39;"Документ.Тип суммы";false;4;0;"Тип операции покупка/продажа";false;39;null
40;"Сообщение.Заголовок";false;4;0;"Произвольный документ.Заголовок сообщения";false;40;null
41;"Документ.Валюта";false;4;0;"Валюта суммы документы";false;41;null
42;"Срок действия";false;1;0;"Срок действия открываемого договора";false;42;null
43;"Идентификатор продукта";false;1;0;"Ид. типового депозита, кредита, поручения или ид. продукта карты";false;43;null
44;"Идентификатор договора";false;1;0;"Ид. договора вклада, ид. кредитного договора, ид. договора карты, ид. договора поручения";false;44;null
45;"Банк посредника.Банк получателя корр.счет";false;4;0;"Номер корр.счета банка получателя в банке-посреднике";false;45;null
46;"Плательщик.Наименование";false;4;0;"Наименование плательщика";false;46;null
47;"Плательщик.Адрес";false;4;0;"Адрес плательщика";false;47;null
48;"Плательщик.Код страны";false;4;0;"Код страны плательщика";false;48;null
