"ID_FIELD";"INDEX_COLUMN";"NAME_COLUMN";"TYPE_COLUMN";"YES_SENSE";"FORMAT_COLUMN";"MEANING_COLUMN"
1;0;"Тип объекта";4;0;"";"Тип объекта"
1;1;"Идентификатор объекта";1;0;"";"Идентификатор объекта"
1;2;"Тип действия";4;0;"";"Тип действия"
2;0;"Номер карты";4;0;"";"Номер карты по которой выполнена авторизация"
2;1;"Срок действия";4;0;"";"Срок действия карты в формате ГГММ"
2;2;"Сумма операции";3;0;"";"Сумма выполненной операции"
2;3;"Код валюты";1;0;"";"Цифровой код валюты"
2;4;"Код шлюза для online авторизаций";4;0;"";"Код шлюза для online авторизаций"
2;5;"Идентификатор авторизации";4;0;"";"Идентификатор авторизации"
3;0;"Номер карты";4;0;"";"Номер карты с измененным статусом"
3;1;"Статус";4;0;"";"Измененный статус карты"
3;2;"Код шлюза для online авторизаций";4;0;"";"Код шлюза для online авторизаций"
6;0;"Идентификатор услуги";1;0;"";"Идентификатор услуги"
6;1;"Действие";1;0;"";"Действие (0-отключена/1-подключена)"
7;0;"Идентификатор бизнес-договора";1;0;"";"Идентификатор бизнес-договора"
7;1;"Код бизнеса";4;0;"";"Код бизнеса"
7;2;"Идентификационный код";4;0;"";"Идентификационный код"
8;0;"Идентификатор бизнес-договора";1;0;"";"Идентификатор бизнес-договора"
8;1;"Код бизнеса";4;0;"";"Код бизнеса"
8;2;"Идентификатор услуги";1;0;"";"Идентификатор услуги"
8;3;"Действие";1;0;"";"Действие"
10;0;"Номер карты";4;0;"";"Номер карты"
10;1;"Срок действия карты";4;0;"";"Срок действия карты"
10;2;"Номер счета в ПЦ";4;0;"";"Номер счета в ПЦ"
10;3;"Лимит";3;0;"";"Установленный лимит"
10;4;"Код валюты ЦБ";4;0;"";"Код валюты ЦБ"
