"ID_FIELD";"NAME_FIELD";"MAND_USE";"TYPE_FIELD";"YES_SENSE";"MEANING_FIELD";"IS_NOT_VISUAL";"NUM_ORDER";"FORMAT_FIELD"
1;"Идентификаторы объектов";false;0;0;"Массив идентификаторов объектов, над которыми произведены действия";false;1;null
2;"Массив авторизаций";false;0;0;"Массив авторизаций в ПЦ";false;2;null
3;"Массив изменений статуса карты";false;0;0;"Массив изменений статуса карты";false;3;null
4;"Внешний идентификатор операции";false;4;0;"Внешний идентификатор операции";false;4;null
5;"GUID операции";false;4;0;"GUID операции";false;5;null
6;"Массив подкл./откл. услуг SMS-Банка";false;0;0;"Массив подкл./откл. услуг SMS-Банка";false;6;null
7;"Массив данных по договору SMS-Банка";false;0;0;"Массив данных по договору SMS-Банка";false;7;null
8;"Массив данных по услугам SMS-Банка";false;0;0;"Массив данных по услугам SMS-Банка";false;8;null
9;"Требуется внешняя обработка";false;5;0;"Признак обработки документа во внешнем модуле";false;9;null
10;"Изменение лимита карты";false;0;1;"Изменение лимита карты";false;10;null
