"ID_KIND_DOC";"SID_KIND_DOC";"NAME_KIND_DOC"
1;"UBS_PAYMENT_ORDER";"Платежное поручение"
2;"UBS_PAYM_ORDER_CURR";"Валютное платежное поручение"
3;"UBS_TRANSFER_ACC";"Перевод между счетами"
4;"UBS_MESSAGE";"Произвольный документ"
5;"UBS_SERVICE_PAYMENT";"Оплата услуг"
6;"UBS_DEPOSIT_OPEN";"Заявление на открытие вклада"
7;"UBS_DEPOSIT_CLOSE";"Заявление на закрытие вклада"
8;"UBS_CREDIT_ISSUE";"Заявление на выдачу ссуды"
9;"UBS_CARD_ISSUE";"Заявление на выпуск карты"
10;"UBS_CARD_CHANGESTATE";"Заявление на изменение статуса карты"
11;"UBS_STO_OPEN";"Заявление на создание постоянного поручения"
12;"UBS_STO_CHANGE_STATE";"Заявление на изменение статуса постоянного поручения"
13;"UBS_CARD_REISSUE";"Заявление на перевыпуск карты"
14;"UBS_TRANSFER_MONEY";"Денежные переводы"
15;"UBS_PAYM_ORDER_FIZ";"Рублевые переводы в пользу физ.лиц"
16;"UBS_PAYM_ORDER_YUR";"Рублевые переводы в пользу юр.лиц"
17;"UBS_PAYM_ORDER_TAX";"Налоговые платежи"
18;"UBS_PAYROLL";"Зарплатные ведомости"
19;"UBS_SMS_SERVICE";"Заявление на подключение/отключение услуг SMS-Банка"
20;"UBS_BUY_CURR";"Заявление на покупку иностранной валюты"
21;"UBS_SELL_CURR";"Заявление на продажу иностранной валюты"
22;"UBS_TRANSIT_CURR";"Заявление на списание средств с транзитного счета"
23;"UBS_SDB_OPEN";"Заявление на заключение договора аренды сейфовой ячейки"
24;"UBS_SDB_PAY_RENT";"Оплата аренды сейфовой ячейки"
25;"UBS_SDB_PROLONGATION";"Заявление на пролонгацию договора аренды сейфовой ячейки"
26;"UBS_LOAN_AHEAD_PAYM";"Заявление на досрочное гашение кредитного договора"
27;"UBS_FO_CREATE_CLAIM";"Заявление на создание кредитной заявки"
28;"UBS_STO_CLOSE";"Заявление на закрытие постоянного поручения"
29;"UBS_RB_CHANGEKEY";"Заявление на смену ключа eToken"
30;"UBS_TRANSFER_CARD";"Пополнение произвольной карты"
31;"UBS_RC_MESSAGE";"Уточнение реквизитов платежа"
32;"UBS_CHANGE_CONTRACT";"Изменение реквизитов договора"
33;"UBS_RB_CHANGELOGIN";"Заявление на смену логина"
34;"UBS_ACCOUNT_CLOSE";"Заявление на закрытие счета"
35;"UBS_CARD_CLOSE";"Закрытие карты"
36;"UBS_CARD_SMSLINQ";"Управление услугами SMS"
37;"UBS_CARD_CHANGELIMIT";"Изменение лимита карты"
38;"UBS_DEPOSIT_PROXY_CANCEL";"Отзыв доверенности"
39;"UBS_CARD_ISSUE_ADD";"Заявление на выпуск дополнительной карты"
40;"UBS_STO_CHANGE";"Изменение реквизитов постоянного поручения"
