"ID_FIELD";"INDEX_COLUMN";"NAME_COLUMN";"TYPE_COLUMN";"YES_SENSE";"FORMAT_COLUMN";"MEANING_COLUMN"
1;0;"Филиал";1;0;"";"Филиал продукта"
1;1;"Идентификатор продукта";1;0;"";"Идентификатор продукта в филиале"
2;0;"Код валюты ЦБ";1;0;"";"Код валюты ЦБ"
2;1;"Сумма, мин";3;0;"";"Минимальная сумма"
2;2;"Сумма, макс.";3;0;"";"Максимальная сумма"
3;0;"Код валюты ЦБ";4;0;"";"Код валюты ЦБ"
3;1;"Сумма мин.";3;0;"";"Минимальная сумма"
3;2;"Сумма макс.";3;0;"";"Максимальная сумма"
4;0;"Код валюты ЦБ";4;0;"";"Код валюты ЦБ"
4;1;"Срок мин.";1;0;"";"Минимальный срок"
4;2;"Срок макс.";1;0;"";"Максимальный срок"
4;3;"Тип срока";4;1;"";"Тип срока"
6;0;"Цифровой код валюты";4;0;"";"Цифровой код валюты"
6;1;"Сумма";3;0;"";"Сумма"
6;2;"Ставка";3;0;"";"Ставка"
8;0;"Срок";1;0;"";"Срок, на который может быть открыт договор"
8;1;"Тип срока";4;1;"";"Тип срока"
8;2;"Валюта (код ЦБ)";4;0;"3";"Валюта"
9;0;"Идентификатор банковского продукта";1;0;"";"Идентификатор банковского продукта"
16;0;"Плата за выпуск";3;0;"";"Плата за выпуск"
16;1;"Код валюты ЦБ платы за выпуск";4;0;"";"Код валюты ЦБ платы за выпуск"
16;2;"Плата за обслуживание";3;0;"";"Плата за обслуживание"
16;3;"Код валюты ЦБ платы за обслуживание";4;0;"";"Код валюты ЦБ платы за обслуживание"
16;4;"Мобильный банк";5;0;"";"Мобильный банк"
16;5;"Кредитный лимит";3;0;"";"Кредитный лимит"
16;6;"Ставка";3;0;"";"Ставка"
17;0;"Код валюты ЦБ";4;0;"";"Код валюты ЦБ"
18;0;"Номер отделения ячейки";1;0;"";"Номер отделения ячейки"
18;1;"Тип ячейки";4;0;"";"Тип ячейки"
18;2;"Размер ячейки";4;0;"";"Размер ячейки (ШхГхВ) мм"
18;3;"Арендная плата";3;0;"";"Арендная плата"
18;4;"Тип периода арендной платы";4;1;"";"Тип периода арендной платы"
18;5;"Код валюты ЦБ арендной платы";4;0;"";"Код валюты ЦБ арендной платы"
18;6;"Мин.срок аренды";1;0;"";"Мин.срок аренды"
18;7;"Тип мин.срока аренды";4;1;"";"Тип мин.срока аренды"
18;8;"Макс.срок аренды";1;0;"";"Макс.срок аренды"
18;9;"Тип макс.срока аренды";4;1;"";"Тип макс.срока аренды"
20;0;"Операция";4;2;"";"Операция"
26;0;"Цель";4;0;"";"Цель"
