"ID_FIELD";"NAME_FIELD";"MAND_USE";"TYPE_FIELD";"YES_SENSE";"MEANING_FIELD";"IS_NOT_VISUAL";"NUM_ORDER";"FORMAT_FIELD"
1;"Многофилиальный продукт";false;0;0;"Список продуктов филиалов";false;1;null
2;"Сумма первоначального взноса";false;0;0;"Сумма первоначального взноса";false;2;null
3;"Сумма довложения";false;0;0;"Сумма довложения";false;3;null
4;"Пороговые сроки договора";false;0;0;"Пороговые сроки договора";false;4;null
5;"Код продукта";false;4;0;"Код продукта во внешней системе";false;5;null
6;"Процентные ставки";false;0;0;"Процентные ставки";false;6;null
7;"Балансовый номер";false;4;0;"Балансовый номер первого порядка";false;7;null
8;"Сроки (массив значений)";false;0;0;"Сроки (массив значений)";false;8;null
9;"Продукт линкованной карты";false;0;0;"Продукт линкованной карты";true;9;null
10;"Печатный шаблон договора";false;4;0;"Печатный шаблон договора";false;10;null
11;"Доступна уплата % на другой счет";false;5;0;null;false;11;null
12;"Выбор счета перевода средств при закрытии";false;5;0;null;false;12;null
13;"Бал.номер счета перевода при закрытии";false;4;0;"Указываются балансовые номера первого и второго порядков через запятую";false;13;null
14;"Описание продукта";false;4;0;"Краткое описание продукта";false;14;null
15;"Банковская карта.Тип договора";false;1;0;"0-дебетовая карта/1-кредитная карта";false;15;null
16;"Банковская карта.Параметры";false;0;1;"Параметры продукта";false;16;null
17;"Список валют";false;0;0;"Список валют";false;17;null
18;"Сейфовые ячейки.Параметры";false;0;0;"Сейфовые ячейки.Параметры";false;18;null
19;"Выплата процентов";false;4;2;"Признак выплаты процентов";false;19;null
20;"Запрещенные операции";false;0;0;"Запрещенные операции";false;20;null
21;"Капитализация";false;5;0;"Возможность капитализации";false;21;null
22;"Кредитные заявки.Максимальная сумма";false;3;0;"Максимальная сумма кредита";false;22;null
23;"Условия обслуживания";false;4;2;"Условия обслуживания";false;23;null
24;"Банковская карта.Платежная система";false;4;2;"Банковская карта.Платежная система";false;24;null
25;"Банковская карта.Тип карты";false;4;1;"Банковская карта.Тип карты";false;25;null
26;"Кредитные заявки.Цели кредитования";false;0;0;"Кредитные заявки.Цели кредитования";false;26;null
