"ID_PRODUCT";"NAME_PRODUCT"
2;"Расчеты по пластиковым картам АО ""РТС-Банк"" + ОВЕРДРАФТ#VISA CL ZP STANDART RUR"
3;"Расчеты по пластиковым картам АО ""РТС-Банк""#VISA GOLD ZP STANDART RUR"
4;"Пенсионная карта (фиксированная ставка)#MIR PENS CLASSIC"
5;"Пенсионная карта (фиксированная ставка) + ОВЕРДРАФТ#MIR PENS CLASSIC"
6;"Расчеты по пластиковым картам АО ""РТС-Банк""#VISA CL ZP STANDART RUR"
7;"Расчеты по пластиковым картам АО ""РТС-Банк"" + ОВЕРДРАФТ#VISA GOLD ZP STANDART RUR"
8;"Расчеты по пластиковым картам НУ ""Центр отдыхо Тоаз"" (ДК)#VISA CL ZP STANDART RUR"
9;"Расчеты по пластиковым картам НУ ""Центр отдыхо Тоаз"" (ДК)#VISA GOLD ZP STANDART RUR"
10;"Расчеты по пластиковым картам ООО ""Дилерал""#VISA CL ZP STANDART RUR"
11;"Расчеты по пластиковым картам ООО ""Дилерал""#VISA GOLD ZP STANDART RUR"
12;"Расчеты по пластиковым картам ООО ""ШКДП"" НЕРЕЗИДЕНТ#VISA CL ZP STANDART RUR"
13;"Расчеты по пластиковым картам ООО ""ШКДП"" НЕРЕЗИДЕНТ#VISA GOLD ZP STANDART RUR"
14;"Расчеты по пластиковым картам ОАО ""ТОАЗ"" НЕРЕЗИДЕНТ#VISA CL ZP STANDART RUR"
15;"Расчеты по пластиковым картам ОАО ""ТОАЗ"" НЕРЕЗИДЕНТ#VISA GOLD ZP STANDART RUR"
16;"Расчеты по пластиковым картам ООО ""Интеркон""#VISA CL ZP STANDART RUR"
17;"Расчеты по пластиковым картам ООО ""Интеркон""#VISA GOLD ZP STANDART RUR"
18;"Расчеты по пластиковым картам ООО ""Бессер Девелопмент Групп""#VISA CL ZP STANDART RUR"
19;"Расчеты по пластиковым картам ООО ""Бессер Девелопмент Групп""#VISA GOLD ZP STANDART RUR"
20;"Расчеты по пластиковым картам ООО ""КОНЦЕПТ""#VISA CL ZP STANDART RUR"
21;"Расчеты по пластиковым картам ООО ""КОНЦЕПТ""#VISA GOLD ZP STANDART RUR"
22;"Расчеты по пластиковым картам ООО ""ЭСКДЭ"" НЕРЕЗИДЕНТ#VISA CL ZP STANDART RUR"
23;"Расчеты по пластиковым картам ООО ""ЭСКДЭ"" НЕРЕЗИДЕНТ#VISA GOLD ZP STANDART RUR"
24;"Расчеты по пластиковым картам ООО ""Монтажтехстрой""#VISA CL ZP STANDART RUR"
25;"Расчеты по пластиковым картам ООО ""Монтажтехстрой""#VISA GOLD ZP STANDART RUR"
26;"Расчеты по пластиковым картам ООО ""МСА Строй""#VISA CL ZP STANDART RUR"
27;"Расчеты по пластиковым картам ООО ""МСА Строй""#VISA GOLD ZP STANDART RUR"
28;"Депозиты с использованием розничной п/к ККО Шексна#VISA CL ROZNICA RUR"
29;"Депозиты с использованием розничной п/к ККО Шексна#VISA GOLD ROZNICA RUR"
30;"Депозиты с использованием розничной п/к ККО Кипарис#VISA CL ROZNICA RUR"
31;"Депозиты с использованием розничной п/к ККО Кипарис#VISA GOLD ROZNICA RUR"
32;"Депозиты с использованием розничной п/к ККО Симбирцит#VISA CL ROZNICA RUR"
33;"Депозиты с использованием розничной п/к ККО Симбирцит#VISA GOLD ROZNICA RUR"
34;"Депозиты с использованием розничной п/к ДО Завод#VISA CL ROZNICA RUR"
35;"Депозиты с использованием розничной п/к ДО Завод#VISA GOLD ROZNICA RUR"
36;"Депозиты с использованием розничной п/к ДО Квадрат#VISA CL ROZNICA RUR"
37;"Депозиты с использованием розничной п/к ДО Квадрат#VISA GOLD ROZNICA RUR"
38;"Депозиты с использованием розничной п/к ККО Школа#VISA CL ROZNICA RUR"
39;"Депозиты с использованием розничной п/к ККО Школа#VISA GOLD ROZNICA RUR"
40;"Депозиты физ. лиц для сторонних клиентов ККО Волна (нерез)#VISA CL ROZNICA RUR"
41;"Депозиты физ. лиц для сторонних клиентов ККО Волна (нерез)#VISA GOLD ROZNICA RUR"
42;"Депозиты физ. лиц для сторонних клиентов Тольятти (нерез)#VISA CL ROZNICA RUR"
43;"Депозиты физ. лиц для сторонних клиентов Тольятти (нерез)#VISA GOLD ROZNICA RUR"
44;"Депозиты физ. лиц для сторонних клиентов ККО Школа (нерез)#VISA CL ROZNICA RUR"
45;"Депозиты физ. лиц для сторонних клиентов ККО Школа (нерез)#VISA GOLD ROZNICA RUR"
46;"Депозиты физ. лиц для сторонних клиентов ККО Сапсан (нерез)#VISA CL ROZNICA RUR"
47;"Депозиты физ. лиц для сторонних клиентов ККО Сапсан (нерез)#VISA GOLD ROZNICA RUR"
48;"Депозиты физ. лиц по расчетам с исполь. розничной п/к в Евро#VISA CL ROZNICA EUR"
49;"Депозиты физ. лиц по расчетам с исполь. розничной п/к в Евро#VISA GOLD ROZNICA EUR"
50;"Депозиты физ. лиц по расч. с исполь. розничной п/к в USD НЕРЕЗ#VISA CL ROZNICA USD"
51;"Депозиты физ. лиц по расч. с исполь. розничной п/к в USD НЕРЕЗ#VISA GOLD ROZNICA USD"
52;"Депозиты с использованием розничной п/к ККО Волна#VISA CL ROZNICA RUR"
53;"Депозиты с использованием розничной п/к ККО Волна#VISA GOLD ROZNICA RUR"
54;"КОРПОРАТИВНЫЙ СЕЙФ (ГО)#VISA CL ZP STANDART RUR"
55;"КОРПОРАТИВНЫЙ СЕЙФ (ГО)#VISA GOLD ZP STANDART RUR"
56;"КОРПОРАТИВНЫЙ СЕЙФ (ДО Завод)#VISA CL ZP STANDART RUR"
57;"КОРПОРАТИВНЫЙ СЕЙФ (ДО Завод)#VISA GOLD ZP STANDART RUR"
58;"Депозиты с использованием розничной п/к ККО Сапсан#VISA CL ROZNICA RUR"
59;"Депозиты с использованием розничной п/к ККО Сапсан#VISA GOLD ROZNICA RUR"
60;"Депозиты с использованием розничной п/к ГО#VISA CL ZP STANDART RUR"
61;"Депозиты с использованием розничной п/к ГО#VISA GOLD ZP STANDART RUR"
62;"Депозиты с использованием розничной п/к ГО + ОВЕРДРАФТ#VISA CL ZP STANDART RUR"
63;"Депозиты с использованием розничной п/к ГО + ОВЕРДРАФТ#VISA GOLD ZP STANDART RUR"
64;"Расчеты по пластиковым картам МП ""СРС""#VISA CL ZP STANDART RUR"
65;"Расчеты по пластиковым картам МП ""СРС""#VISA GOLD ZP STANDART RUR"
66;"Расчеты по пластиковым картам МП ""СРС"" + ОВЕРДРАФТ#VISA CL ZP STANDART RUR"
67;"Расчеты по пластиковым картам МП ""СРС"" + ОВЕРДРАФТ#VISA GOLD ZP STANDART RUR"
68;"Расчеты по пластиковым картам ОАО ""ТТЦ""Индустриальный""#VISA CL ZP STANDART RUR"
69;"Расчеты по пластиковым картам ОАО ""ТТЦ""Индустриальный""#VISA GOLD ZP STANDART RUR"
70;"Расчеты по пластиковым картам ОАО ""ТТЦ""Индустриальный"" + ОВЕРДРАФТ#VISA CL ZP STANDART RUR"
71;"Расчеты по пластиковым картам ОАО ""ТТЦ""Индустриальный"" + ОВЕРДРАФТ#VISA GOLD ZP STANDART RUR"
72;"Расчеты по пластиковым картам ОАО ""Тольяттиазот"" 75 цех#VISA CL ZP STANDART RUR"
73;"Расчеты по пластиковым картам ОАО ""Тольяттиазот"" 75 цех#VISA GOLD ZP STANDART RUR"
74;"Расчеты по пластиковым картам ОАО ""Тольяттиазот"" 75 цех + ОВЕРДРАФТ#VISA CL ZP STANDART RUR"
75;"Расчеты по пластиковым картам ОАО ""Тольяттиазот"" 75 цех + ОВЕРДРАФТ#VISA GOLD ZP STANDART RUR"
76;"Расчеты по пластиковым картам ОАО ""Тольяттиазот"", ОАО ""ВЦМ""#VISA CL ZP STANDART RUR"
77;"Расчеты по пластиковым картам ОАО ""Тольяттиазот"", ОАО ""ВЦМ""#VISA GOLD ZP STANDART RUR"
78;"Расчеты по пластиковым картам ОАО ""Тольяттиазот"", ОАО ""ВЦМ"" + ОВЕРДРАФТ#VISA CL ZP STANDART RUR"
79;"Расчеты по пластиковым картам ОАО ""Тольяттиазот"", ОАО ""ВЦМ"" + ОВЕРДРАФТ#VISA GOLD ZP STANDART RUR"
80;"Расчеты по пластиковым картам ООО ""ТольяттиТехСтекло""#VISA CL ZP STANDART RUR"
81;"Расчеты по пластиковым картам ООО ""ТольяттиТехСтекло""#VISA GOLD ZP STANDART RUR"
82;"Расчеты по пластиковым картам ООО ""ТольяттиТехСтекло"" + ОВЕРДРАФТ#VISA CL ZP STANDART RUR"
83;"Расчеты по пластиковым картам ООО ""ТольяттиТехСтекло"" + ОВЕРДРАФТ#VISA GOLD ZP STANDART RUR"
84;"Расчеты по пластиковым картам ООО ""ШКДП""#VISA CL ZP STANDART RUR"
85;"Расчеты по пластиковым картам ООО ""ШКДП""#VISA GOLD ZP STANDART RUR"
86;"Расчеты по пластиковым картам ООО ""ШКДП"" + ОВЕРДРАФТ#VISA CL ZP STANDART RUR"
87;"Расчеты по пластиковым картам ООО ""ШКДП"" + ОВЕРДРАФТ#VISA GOLD ZP STANDART RUR"
88;"Депозиты с использованием розничной п/к ККО Волна + ОВЕРДРАФТ#VISA CL ROZNICA RUR"
89;"Депозиты с использованием розничной п/к ККО Волна + ОВЕРДРАФТ#VISA GOLD ROZNICA RUR"
90;"Расчеты по пластиковым картам ОАО ""Ульяновскэнерго""#VISA CL ZP-ULENERGO RUR"
91;"Расчеты по пластиковым картам ОАО ""Ульяновскэнерго""#VISA GOLD ZP-ULENERGO RUR"
92;"Расчеты по пластиковым картам ОАО ""Ульяновскэнерго"" + ОВЕРДРАФТ#VISA CL ZP-ULENERGO RUR"
93;"Расчеты по пластиковым картам ОАО ""Ульяновскэнерго"" + ОВЕРДРАФТ#VISA GOLD ZP-ULENERGO RUR"
94;"Расчеты по пластиковым картам ООО ""СТРОЙЭЛИТ""#VISA CL ZP STANDART RUR"
95;"Расчеты по пластиковым картам ООО ""СТРОЙЭЛИТ""#VISA GOLD ZP STANDART RUR"
