"ID_PRODUCT_EXT";"NAME_PRODUCT_EXT";"ID_BUSINESS"
4;"""Fresh"" избранные офисы";9
5;"""Fresh"" остальные офисы";9
8;"""НА СТАРТЕ - Доверие"" избранные офисы";9
9;"""НА СТАРТЕ - Доверие"" остальные офисы";9
6;"""НА СТАРТЕ"" избранные офисы";9
7;"""НА СТАРТЕ"" остальные офисы";9
11;"""ПЕНСИОННЫЙ"" - повышенная процентная ставка";9
13;"""Срочный"" в иностранной валюте 180";9
12;"""Срочный"" в иностранной валюте 365";9
2;"До востребования технический";9
0;"Не задан";9
10;"ПЕНСИОННЫЙ";9
3;"Универсальный";9
2;"АИЖК";10
1;"Базовый договор";10
0;"Не задан";10
121;"Депозиты с использованием розничной п/к ГО + ОВЕРДРАФТ#VISA CL ZP STANDART RUR";12
122;"Депозиты с использованием розничной п/к ГО + ОВЕРДРАФТ#VISA GOLD ZP STANDART RUR";12
119;"Депозиты с использованием розничной п/к ГО#VISA CL ZP STANDART RUR";12
120;"Депозиты с использованием розничной п/к ГО#VISA GOLD ZP STANDART RUR";12
91;"Депозиты с использованием розничной п/к ДО Завод#VISA CL ROZNICA RUR";12
92;"Депозиты с использованием розничной п/к ДО Завод#VISA GOLD ROZNICA RUR";12
93;"Депозиты с использованием розничной п/к ДО Квадрат#VISA CL ROZNICA RUR";12
94;"Депозиты с использованием розничной п/к ДО Квадрат#VISA GOLD ROZNICA RUR";12
151;"Депозиты с использованием розничной п/к ККО Волна + ОВЕРДРАФТ#VISA CL ROZNICA RUR";12
152;"Депозиты с использованием розничной п/к ККО Волна + ОВЕРДРАФТ#VISA GOLD ROZNICA RUR";12
111;"Депозиты с использованием розничной п/к ККО Волна#VISA CL ROZNICA RUR";12
112;"Депозиты с использованием розничной п/к ККО Волна#VISA GOLD ROZNICA RUR";12
87;"Депозиты с использованием розничной п/к ККО Кипарис#VISA CL ROZNICA RUR";12
88;"Депозиты с использованием розничной п/к ККО Кипарис#VISA GOLD ROZNICA RUR";12
117;"Депозиты с использованием розничной п/к ККО Сапсан#VISA CL ROZNICA RUR";12
118;"Депозиты с использованием розничной п/к ККО Сапсан#VISA GOLD ROZNICA RUR";12
89;"Депозиты с использованием розничной п/к ККО Симбирцит#VISA CL ROZNICA RUR";12
90;"Депозиты с использованием розничной п/к ККО Симбирцит#VISA GOLD ROZNICA RUR";12
85;"Депозиты с использованием розничной п/к ККО Шексна#VISA CL ROZNICA RUR";12
86;"Депозиты с использованием розничной п/к ККО Шексна#VISA GOLD ROZNICA RUR";12
95;"Депозиты с использованием розничной п/к ККО Школа#VISA CL ROZNICA RUR";12
96;"Депозиты с использованием розничной п/к ККО Школа#VISA GOLD ROZNICA RUR";12
99;"Депозиты физ. лиц для сторонних клиентов ККО Волна (нерез)#VISA CL ROZNICA RUR";12
100;"Депозиты физ. лиц для сторонних клиентов ККО Волна (нерез)#VISA GOLD ROZNICA RUR";12
105;"Депозиты физ. лиц для сторонних клиентов ККО Сапсан (нерез)#VISA CL ROZNICA RUR";12
106;"Депозиты физ. лиц для сторонних клиентов ККО Сапсан (нерез)#VISA GOLD ROZNICA RUR";12
103;"Депозиты физ. лиц для сторонних клиентов ККО Школа (нерез)#VISA CL ROZNICA RUR";12
104;"Депозиты физ. лиц для сторонних клиентов ККО Школа (нерез)#VISA GOLD ROZNICA RUR";12
101;"Депозиты физ. лиц для сторонних клиентов Тольятти (нерез)#VISA CL ROZNICA RUR";12
102;"Депозиты физ. лиц для сторонних клиентов Тольятти (нерез)#VISA GOLD ROZNICA RUR";12
109;"Депозиты физ. лиц по расч. с исполь. розничной п/к в USD НЕРЕЗ#VISA CL ROZNICA USD";12
110;"Депозиты физ. лиц по расч. с исполь. розничной п/к в USD НЕРЕЗ#VISA GOLD ROZNICA USD";12
107;"Депозиты физ. лиц по расчетам с исполь. розничной п/к в Евро#VISA CL ROZNICA EUR";12
108;"Депозиты физ. лиц по расчетам с исполь. розничной п/к в Евро#VISA GOLD ROZNICA EUR";12
8;"Зарплатная карта РТС-Банк овердрафт#MIR CREDIT PREMIUM";12
9;"Зарплатная карта РТС-Банк овердрафт#MIR PENS CLASSIC";12
10;"Зарплатная карта РТС-Банк овердрафт#MIR ZP CLASSIC";12
11;"Зарплатная карта РТС-Банк овердрафт#MIR ZP PREMIUM";12
1;"Зарплатная карта РТС-Банк#MIR CREDIT PREMIUM";12
2;"Зарплатная карта РТС-Банк#MIR PENS CLASSIC";12
3;"Зарплатная карта РТС-Банк#MIR ZP CLASSIC";12
4;"Зарплатная карта РТС-Банк#MIR ZP PREMIUM";12
16;"КК ИП Борисов В.Н.#VISA CL KORP-UR RUR";12
17;"КК ИП Волчков А.С.#VISA CL KORP-UR RUR";12
18;"КК ИП Городничева Л.Г.#VISA CL KORP-UR RUR";12
19;"КК ИП Игушев И.С.#VISA CL KORP-UR RUR";12
22;"КК ИП Изюмская И.А.#VISA CL KORP-UR RUR";12
